Date,TradeVolume,TradeValue,Open,High,Low,Close,Change,Transaction,MA_5,MA_20,MA_60,MA_120,EMA_12,EMA_26,DIF,DEM,OSC,BIAS_5,BIAS_20,BIAS_60,BIAS_120
2020-06-22,37374616,11722688924,314.5,316.5,312.0,312.0,-2.5,18836,314.2,308.25,296.4,0.0,312.4255782598614,307.47388886434385,4.951689395517576,5.198549851280194,-0.24686045576261773,-0.007001909611712249,0.012165450121654502,0.0526315789473685,0.0
2020-06-23,41300084,12981121544,316.0,316.5,312.5,315.0,3.0,15959,314.2,309.225,296.98333333333335,0.0,312.8216431454689,308.03147178006543,4.7901713654034666,5.116874154103933,-0.32670278870046676,0.0025461489497135945,0.018675721561969366,0.06066558168247371,0.0
2020-06-24,55464024,17641164202,319.0,320.0,316.0,317.5,2.5,27086,314.7,310.275,297.725,0.0,313.54139035771664,308.7329528102933,4.8084375474233525,5.055186832767265,-0.24674928534391238,0.008897362567524663,0.023285794859398995,0.06642035435384995,0.0
2020-06-29,56672892,17695228688,314.0,315.0,310.0,312.0,-5.5,30558,314.2,311.175,298.46666666666664,0.0,313.30425337853075,308.97499099164986,4.329262386880885,4.910001943588949,-0.580739556708064,-0.007001909611712249,0.002651241262954892,0.0453428635246818,0.0
2020-06-30,49241860,15386428040,313.5,314.0,311.0,313.0,1.0,16165,313.9,312.225,299.1166666666667,0.0,313.25744516626946,309.2731793742618,3.9842657920076476,4.724854713271627,-0.7405889212639796,-0.002867155144950549,0.0024821843222034663,0.0464144425252131,0.0
2020-07-01,29685342,9400765756,315.0,318.0,314.0,317.5,4.5,15617,315.0,313.325,299.8833333333333,0.0,313.91014591204004,309.8826483757893,4.027497536250735,4.585383277866809,-0.5578857416160741,0.007936507936507936,0.013324822468682714,0.05874506752626024,0.0
2020-07-02,37789178,12119073560,319.0,322.0,318.0,322.0,4.5,18355,316.4,314.6,300.65833333333336,0.0,315.15473885206944,310.7803320997925,4.374406752276968,4.543187972748686,-0.1687812204717174,0.01769911504424786,0.02352193261284163,0.07098312037473313,0.0
2020-07-03,55656987,18280314743,327.0,330.5,326.5,329.5,7.5,30235,318.8,316.025,301.43333333333334,0.0,317.36170211072897,312.16712024393735,5.194581866791623,4.673466751557656,0.5211151152339673,0.033563362609786665,0.04263903172217395,0.09311069335397544,0.0
2020-07-06,57256220,19200718243,332.5,338.0,332.0,338.0,8.5,31866,324.0,317.625,302.31666666666666,306.3833333333333,320.5368248691716,314.0808535437213,6.455971325450321,5.029967666337026,1.4260036591132952,0.043209876543209874,0.06414797323888233,0.11803296763878936,0.10319316760050048
2020-07-07,59046323,20143258406,343.5,346.0,338.0,338.5,0.5,32076,329.1,318.975,303.2416666666667,306.37916666666666,323.3003902785153,315.8898425730905,7.41054770542479,5.506083674155473,1.9044640312693168,0.028562746885445082,0.061211693706403246,0.1162714006980131,0.10484013545307423
2020-07-08,33813218,11522915649,337.5,342.5,337.5,341.0,2.5,16673,333.8,320.125,304.26666666666665,306.39166666666665,326.0234071625797,317.7500097785404,8.2733973840393,6.059546416133069,2.2138509679062297,0.021569802276812426,0.06520890277235455,0.12072743207712539,0.11295455163597796
2020-07-09,37410376,12912747970,346.0,347.0,343.0,345.0,4.0,20205,338.4,321.425,305.375,306.5,328.9428829872012,319.7686838674343,9.17419911976691,6.682476956860587,2.491722162906324,0.01950354609929085,0.07334525939177099,0.12975849365534178,0.12561174551386622
2020-07-10,60902108,21298923681,352.5,353.0,345.5,348.5,3.5,32227,342.2,322.725,306.43333333333334,306.65833333333336,331.9516702229741,321.8970820902552,10.05458813271889,7.3568991920328966,2.6976889406859943,0.018410286382232646,0.0798667596250677,0.13727836397258783,0.1364439251066604
2020-07-13,49459523,17425372488,351.0,354.5,350.5,354.5,6.0,23217,345.5,324.425,307.55,306.8666666666667,335.42064403778477,324.312273364462,11.108370673322781,8.10719348829145,3.001177185031331,0.02604920405209841,0.09270247360715107,0.1526581043732726,0.1552248533565066
2020-07-14,63030150,22602878292,355.0,364.0,354.5,363.5,9.0,30996,350.5,326.8,308.8333333333333,307.0833333333333,339.74054495816813,327.2152463526326,12.52529860553551,8.990814511740805,3.534484093794706,0.037089871611982884,0.11230110159118724,0.17701025364274156,0.18371777476255097
2020-07-15,75105362,27486789803,366.0,370.0,361.0,363.0,-0.5,37607,354.9,329.475,309.775,307.27916666666664,343.318922659098,329.86611970431085,13.45280295478716,9.883212200350515,3.5695907544366445,0.022823330515638274,0.10175278852720229,0.17181825518521515,0.1813361899467098
2020-07-16,68582512,24506038172,359.0,361.0,353.5,357.5,-5.5,35598,357.4,331.6,310.6666666666667,307.4125,345.5006268665186,331.9131816677066,13.587445198811963,10.624058800043096,2.9633863987688667,0.00027979854504762936,0.07810615199034975,0.15075107296137333,0.16293254178018127
2020-07-17,66403485,24244495853,361.0,369.0,360.0,367.0,9.5,36729,361.1,334.2,311.8666666666667,307.5875,348.80822273465503,334.51233206180365,14.295890672851385,11.358425174604985,2.9374654982464,0.01633896427582381,0.09814482345900662,0.17678495083368959,0.19315641890518967
