,Date,Open,High,Low,close,MA_5,MA_20,MA_60,MA_120
478,2020-12-21,14273.79,14384.96,14166.89,14384.96,14253.366,14098.107,13328.867333333332,12949.574083333335
479,2020-12-22,14348.11,14411.93,14175.69,14177.46,14275.154,14116.623500000002,13360.752,12969.343416666667
480,2020-12-23,14180.7,14247.79,14134.87,14223.09,14258.88,14140.8365,13393.921666666667,12988.626166666667
481,2020-12-24,14256.29,14324.42,14256.29,14280.28,14263.15,14162.567500000001,13424.213666666668,13006.655999999999
482,2020-12-25,14306.98,14400.83,14296.97,14331.42,14279.442000000001,14185.784,13455.275166666665,13025.309750000002
483,2020-12-28,14363.45,14483.07,14363.45,14483.07,14299.064000000002,14223.793,13488.066166666666,13044.583749999998
484,2020-12-29,14500.91,14547.07,14435.03,14472.05,14357.982,14253.112,13520.128999999999,13063.578416666665
485,2020-12-30,14485.97,14695.44,14476.69,14687.7,14450.904,14288.039999999999,13553.186833333333,13085.361916666667
486,2020-12-31,14704.53,14760.06,14646.33,14732.53,14541.354000000001,14325.812,13586.2895,13106.369999999999
487,2021-01-04,14720.25,14937.13,14720.25,14902.03,14655.476,14364.291500000001,13619.870166666666,13128.811833333333
488,2021-01-05,14913.64,15000.03,14861.99,15000.03,14758.867999999999,14401.462999999998,13653.938833333332,13152.121666666668
489,2021-01-06,15145.85,15197.68,14837.0,14983.13,14861.083999999999,14432.5995,13687.872166666666,13175.666583333334
490,2021-01-07,15059.52,15270.4,15049.86,15214.0,14966.344000000001,14473.7925,13726.117,13200.936916666667
491,2021-01-08,15365.13,15463.95,15275.38,15463.95,15112.628,14534.5155,13770.0525,13228.348666666667
492,2021-01-11,15425.58,15557.3,15395.73,15557.3,15243.682,14599.295999999998,13816.834666666666,13254.679916666668
493,2021-01-12,15549.53,15642.03,15421.23,15500.7,15343.816,14663.7785,13860.040666666668,13279.9085
494,2021-01-13,15550.16,15778.52,15550.16,15769.98,15501.186000000002,14748.851499999999,13908.500833333334,13307.883
495,2021-01-14,15651.2,15760.15,15620.96,15707.19,15599.823999999999,14818.987999999998,13955.6665,13336.242583333333
496,2021-01-15,15987.16,16041.59,15615.11,15616.39,15630.312,14886.860999999999,14000.655833333332,13361.476666666667
497,2021-01-18,15676.45,15676.45,15320.97,15612.0,15641.252000000002,14954.963,14045.8755,13386.68725
498,2021-01-19,15716.64,15928.14,15716.64,15877.37,15716.586,15029.583499999999,14095.347833333333,13414.490583333332
499,2021-01-20,15934.85,16004.32,15745.48,15806.18,15723.826000000001,15111.019499999999,14144.200666666668,13440.184416666665
500,2021-01-21,15775.73,16238.46,15775.73,16153.77,15813.142000000002,15207.5535,14200.201000000001,13469.259166666665
501,2021-01-22,15984.89,16138.04,15973.02,16019.03,15893.670000000002,15294.491,14256.136333333332,13498.475833333332
502,2021-01-25,16006.21,16014.96,15772.63,15946.54,15960.578,15375.247,14312.806333333334,13525.447666666667
503,2021-01-26,15955.16,16023.87,15589.21,15658.85,15916.874,15434.035999999998,14363.931999999999,13549.25225
